Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur;Lufttrykk i havnivå
Sola;SN44560;11.06.2021 01:00;16,1;1013,7
Sola;SN44560;11.06.2021 02:00;16;1013,1
Sola;SN44560;11.06.2021 03:00;16;1012,9
Sola;SN44560;11.06.2021 04:00;15,9;1012,2
Sola;SN44560;11.06.2021 05:00;16,3;1011,3
Sola;SN44560;11.06.2021 06:00;15,8;1011
Sola;SN44560;11.06.2021 07:00;15,8;1010,6
Sola;SN44560;11.06.2021 08:00;15,9;1010,2
Sola;SN44560;11.06.2021 09:00;16,1;1010,2
Sola;SN44560;11.06.2021 10:00;16,5;1010
Sola;SN44560;11.06.2021 11:00;17;1009,9
Sola;SN44560;11.06.2021 12:00;16,2;1010,2
Sola;SN44560;11.06.2021 13:00;15,8;1009,9
Sola;SN44560;11.06.2021 14:00;16,4;1009,3
Sola;SN44560;11.06.2021 15:00;15,8;1009,6
Sola;SN44560;11.06.2021 16:00;16,2;1009,3
Sola;SN44560;11.06.2021 17:00;15,5;1009,4
Sola;SN44560;11.06.2021 18:00;15,1;1009,3
Sola;SN44560;11.06.2021 19:00;14,7;1009,2
Sola;SN44560;11.06.2021 20:00;13,8;1009,4
Sola;SN44560;11.06.2021 21:00;13,1;1009,7
Sola;SN44560;11.06.2021 22:00;13,2;1010
Sola;SN44560;11.06.2021 23:00;12,4;1010,4
Sola;SN44560;12.06.2021 00:00;12,2;1010,9
Sola;SN44560;12.06.2021 01:00;12,1;1011,1
Sola;SN44560;12.06.2021 02:00;11,8;1011,3
Sola;SN44560;12.06.2021 03:00;11,8;1011,3
Sola;SN44560;12.06.2021 04:00;12,1;1011,3
Sola;SN44560;12.06.2021 05:00;12,3;1011,3
Sola;SN44560;12.06.2021 06:00;12,5;1011,4
Sola;SN44560;12.06.2021 07:00;12,3;1011,6
Sola;SN44560;12.06.2021 08:00;12,3;1011,9
Sola;SN44560;12.06.2021 09:00;13,4;1012,4
Sola;SN44560;12.06.2021 10:00;13,4;1012,6
Sola;SN44560;12.06.2021 11:00;13,5;1012,9
Sola;SN44560;12.06.2021 12:00;14,4;1013,2
Sola;SN44560;12.06.2021 13:00;13,7;1013,7
Sola;SN44560;12.06.2021 14:00;14,1;1014,1
Sola;SN44560;12.06.2021 15:00;13,8;1014,6
Sola;SN44560;12.06.2021 16:00;13,8;1015
Sola;SN44560;12.06.2021 17:00;12,5;1015,4
Sola;SN44560;12.06.2021 18:00;12,3;1015,7
Sola;SN44560;12.06.2021 19:00;12,4;1016,1
Sola;SN44560;12.06.2021 20:00;11,5;1016,4
Sola;SN44560;12.06.2021 21:00;11,8;1017
Sola;SN44560;12.06.2021 22:00;12;1017,7
Sola;SN44560;12.06.2021 23:00;11,8;1018,2
Sola;SN44560;13.06.2021 00:00;11,5;1018,8
Sola;SN44560;13.06.2021 01:00;11,9;1019,3
Sola;SN44560;13.06.2021 02:00;11,5;1019,8
Sola;SN44560;13.06.2021 03:00;10,8;1020
Sola;SN44560;13.06.2021 04:00;10,9;1020,4
Sola;SN44560;13.06.2021 05:00;11,2;1020,6
Sola;SN44560;13.06.2021 06:00;11,6;1020,7
Sola;SN44560;13.06.2021 07:00;12,2;1021,3
Sola;SN44560;13.06.2021 08:00;12,8;1021,5
Sola;SN44560;13.06.2021 09:00;13,3;1021,6
Sola;SN44560;13.06.2021 10:00;13,4;1021,8
Sola;SN44560;13.06.2021 11:00;13,5;1021,9
Sola;SN44560;13.06.2021 12:00;14,3;1021,6
Sola;SN44560;13.06.2021 13:00;14,4;1021,5
Sola;SN44560;13.06.2021 14:00;14,5;1021,5
Sola;SN44560;13.06.2021 15:00;14,3;1021,4
Sola;SN44560;13.06.2021 16:00;14,5;1020,6
Sola;SN44560;13.06.2021 17:00;14,9;1019,8
Sola;SN44560;13.06.2021 18:00;13,7;1019,7
Sola;SN44560;13.06.2021 19:00;13,9;1019,3
Sola;SN44560;13.06.2021 20:00;14,1;1018,6
Sola;SN44560;13.06.2021 21:00;13,8;1018,1
Sola;SN44560;13.06.2021 22:00;13,9;1017,4
Sola;SN44560;13.06.2021 23:00;14,2;1017,1
Sola;SN44560;14.06.2021 00:00;14,5;1016,5
Data er gyldig per 06.08.2024 (CC BY 4.0), Meteorologisk institutt (MET);;;;
